object,subject
http://localhost/persons/Clotilde_Ramer,http://localhost/publications/articles/Journal8/1967/Article294
http://localhost/persons/Nelson_Liquori,http://localhost/publications/inprocs/Proceeding2/1972/Inproceeding71
http://localhost/persons/Gundula_Kinloch,http://localhost/publications/articles/Journal3/1962/Article61
http://localhost/persons/Carmella_Reifschneider,http://localhost/publications/articles/Journal7/1963/Article273
http://localhost/persons/Shuichi_Predom,http://localhost/publications/articles/Journal3/1961/Article109
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1946/Article10
http://localhost/persons/Crysta_Mateen,http://localhost/publications/inprocs/Proceeding1/1951/Inproceeding17
http://localhost/persons/Anastasio_Munl,http://localhost/publications/articles/Journal15/1970/Article706
http://localhost/persons/Taqi_Maglaya,http://localhost/publications/articles/Journal11/1968/Article435
http://localhost/persons/Tsukiyama_Shinabarger,http://localhost/publications/articles/Journal3/1955/Article110
http://localhost/persons/Cristine_Christoforou,http://localhost/publications/articles/Journal3/1960/Article218
http://localhost/persons/Ricki_Alejo,http://localhost/publications/inprocs/Proceeding2/1960/Inproceeding61
http://localhost/persons/Amita_Hambleton,http://localhost/publications/articles/Journal9/1966/Article355
http://localhost/persons/Nike_Wardinsky,http://localhost/publications/inprocs/Proceeding8/1971/Inproceeding296
http://localhost/persons/Naglaya_Tantillo,http://localhost/publications/articles/Journal2/1949/Article43
http://localhost/persons/Trenton_Pfrogner,http://localhost/publications/articles/Journal1/1959/Article16
http://localhost/persons/Polazhitsa_Alameda,http://localhost/publications/inprocs/Proceeding1/1967/Inproceeding21
http://localhost/persons/Celin_Strehlow,http://localhost/publications/articles/Journal11/1969/Article411
http://localhost/persons/Niou_Lampinen,http://localhost/publications/articles/Journal9/1964/Article336
http://localhost/persons/Margita_Plew,http://localhost/publications/inprocs/Proceeding5/1967/Inproceeding205
http://localhost/persons/Jaron_Tara,http://localhost/publications/articles/Journal13/1968/Article548
http://localhost/persons/Zarita_Hembrough,http://localhost/publications/articles/Journal12/1971/Article482
http://localhost/persons/Margareta_Gezalyan,http://localhost/publications/articles/Journal4/1970/Article154
http://localhost/persons/Mikael_Crisp,http://localhost/publications/articles/Journal7/1966/Article284
http://localhost/persons/Gerwin_Cuez,http://localhost/publications/articles/Journal6/1967/Article215
http://localhost/persons/Josceline_Voner,http://localhost/publications/articles/Journal19/1970/Article653
http://localhost/persons/Norogumi_Gargano,http://localhost/publications/articles/Journal3/1965/Article98
http://localhost/persons/Essence_Mirafuentes,http://localhost/publications/inprocs/Proceeding1/1972/Inproceeding43
http://localhost/persons/Dover_Pilkinton,http://localhost/publications/inprocs/Proceeding9/1970/Inproceeding375
http://localhost/persons/Elsa_Stancle,http://localhost/publications/articles/Journal6/1971/Article216
http://localhost/persons/Goldv_Lemmons,http://localhost/publications/articles/Journal13/1970/Article416
http://localhost/persons/Paul_Erdoes,http://localhost/publications/inprocs/Proceeding1/1964/Inproceeding2
http://localhost/persons/Farrah_Kipling,http://localhost/publications/articles/Journal9/1966/Article340
http://localhost/persons/Jakobine_Joans,http://localhost/publications/articles/Journal15/1970/Article668
http://localhost/persons/Wallis_Lundstrom,http://localhost/publications/articles/Journal6/1972/Article195
http://localhost/persons/Misbaah_Rogala,http://localhost/publications/articles/Journal10/1968/Article398
http://localhost/persons/Kya_Rueck,http://localhost/publications/articles/Journal5/1970/Article184
http://localhost/persons/Galata_Matlick,http://localhost/publications/articles/Journal8/1968/Article312
http://localhost/persons/Lyalechka_Wasp,http://localhost/publications/articles/Journal1/1962/Article23
http://localhost/persons/Edithe_Surls,http://localhost/publications/inprocs/Proceeding9/1970/Inproceeding350
http://localhost/persons/Robyn_Chandrasekhar,http://localhost/publications/inprocs/Proceeding1/1965/Inproceeding36
http://localhost/persons/Carol_Litchford,http://localhost/publications/inprocs/Proceeding1/1961/Inproceeding21
http://localhost/persons/Paul_Erdoes,http://localhost/publications/inprocs/Proceeding1/1970/Inproceeding7
http://localhost/persons/Feona_Crockarell,http://localhost/publications/inprocs/Proceeding3/1969/Inproceeding104
http://localhost/persons/Ideh_Schow,http://localhost/publications/articles/Journal8/1971/Article316
http://localhost/persons/Dajuan_Wencl,http://localhost/publications/articles/Journal6/1968/Article233
http://localhost/persons/Nazarova_Abundis,http://localhost/publications/inprocs/Proceeding1/1950/Inproceeding8
http://localhost/persons/Reece_Raburn,http://localhost/publications/articles/Journal2/1950/Article64
http://localhost/persons/Vikashenka_Koso,http://localhost/publications/articles/Journal5/1961/Article166
http://localhost/persons/Usaama_Greiser,http://localhost/publications/articles/Journal2/1952/Article39
http://localhost/persons/Manda_Mangine,http://localhost/publications/articles/Journal17/1970/Article689
http://localhost/persons/Astrid_Schworm,http://localhost/publications/articles/Journal2/1962/Article47
http://localhost/persons/Allecra_Musil,http://localhost/publications/inprocs/Proceeding6/1971/Inproceeding219
http://localhost/persons/Kristie_Roback,http://localhost/publications/articles/Journal2/1961/Article81
http://localhost/persons/Nikolaus_Iseri,http://localhost/publications/articles/Journal10/1971/Article385
http://localhost/persons/Edwin_Masloski,http://localhost/publications/articles/Journal9/1966/Article352
http://localhost/persons/Rasheeq_Zenke,http://localhost/publications/inprocs/Proceeding9/1970/Inproceeding346
http://localhost/persons/Valentin_Galeano,http://localhost/publications/inprocs/Proceeding2/1965/Inproceeding93
http://localhost/persons/Manju_Hellickson,http://localhost/publications/articles/Journal5/1964/Article149
http://localhost/persons/Hama_Bellusci,http://localhost/publications/inprocs/Proceeding1/1956/Inproceeding27
http://localhost/persons/Jacky_Gurrieri,http://localhost/publications/inprocs/Proceeding2/1963/Inproceeding57
http://localhost/persons/Aonghas_Pashley,http://localhost/publications/articles/Journal3/1954/Article90
