object,subject
http://localhost/persons/Romone_Levenhagen,http://localhost/publications/journals/Journal9/1971
http://localhost/persons/Chayo_Simons,http://localhost/publications/procs/Proceeding3/1966
http://localhost/persons/Amishi_Masgalas,http://localhost/publications/procs/Proceeding6/1967
http://localhost/persons/Ctesippus_Penkins,http://localhost/publications/procs/Proceeding7/1970
http://localhost/persons/Lisil_Hellmuth,http://localhost/publications/procs/Proceeding1/1952
http://localhost/persons/Chanoch_Triano,http://localhost/publications/procs/Proceeding2/1970
http://localhost/persons/Yulianiya_Trentacoste,http://localhost/publications/procs/Proceeding1/1959
http://localhost/persons/Juhaina_Klier,http://localhost/publications/procs/Proceeding7/1969
http://localhost/persons/Lutfi_Peak,http://localhost/publications/procs/Proceeding1/1963
http://localhost/persons/Bette_Schloemer,http://localhost/publications/journals/Journal4/1959
http://localhost/persons/Bhadra_Whidden,http://localhost/publications/procs/Proceeding1/1955
http://localhost/persons/Angelika_Hercman,http://localhost/publications/journals/Journal13/1970
http://localhost/persons/Kurtis_Cast,http://localhost/publications/procs/Proceeding5/1966
http://localhost/persons/Crescentia_Mongeau,http://localhost/publications/journals/Journal1/1967
http://localhost/persons/Alvera_Caperton,http://localhost/publications/procs/Proceeding1/1966
http://localhost/persons/Pavlova_Burleson,http://localhost/publications/journals/Journal2/1971
http://localhost/persons/Tsugahara_Eberwein,http://localhost/publications/journals/Journal16/1970
http://localhost/persons/Yavin_Maletz,http://localhost/publications/journals/Journal7/1964
http://localhost/persons/Iratze_Ailes,http://localhost/publications/procs/Proceeding5/1966
http://localhost/persons/Lukretia_Mosho,http://localhost/publications/journals/Journal2/1969
http://localhost/persons/Tsugahara_Eberwein,http://localhost/publications/journals/Journal6/1970
http://localhost/persons/Larry_Espejel,http://localhost/publications/journals/Journal2/1960
http://localhost/persons/Eustachius_Kohout,http://localhost/publications/journals/Journal7/1964
http://localhost/persons/Paul_Erdoes,http://localhost/publications/procs/Proceeding2/1959
http://localhost/persons/Paul_Erdoes,http://localhost/publications/procs/Proceeding1/1957
http://localhost/persons/Paul_Erdoes,http://localhost/publications/procs/Proceeding2/1971
http://localhost/persons/Ekantika_Bisogno,http://localhost/publications/journals/Journal2/1952
http://localhost/persons/WanChih_Mensing,http://localhost/publications/journals/Journal11/1966
http://localhost/persons/Kinzo_Drollinger,http://localhost/publications/procs/Proceeding3/1969
http://localhost/persons/Everette_Munir,http://localhost/publications/journals/Journal20/1971
http://localhost/persons/Bhadra_Whidden,http://localhost/publications/journals/Journal2/1955
http://localhost/persons/Florens_Wolever,http://localhost/publications/procs/Proceeding1/1959
http://localhost/persons/Takuma_Moncur,http://localhost/publications/journals/Journal5/1959
http://localhost/persons/Paul_Erdoes,http://localhost/publications/procs/Proceeding2/1962
http://localhost/persons/Jivanta_Quintania,http://localhost/publications/journals/Journal6/1960
http://localhost/persons/Ihaab_Gebo,http://localhost/publications/procs/Proceeding2/1964
http://localhost/persons/Kendell_Starring,http://localhost/publications/journals/Journal6/1968
http://localhost/persons/Angelika_Hercman,http://localhost/publications/journals/Journal4/1970
http://localhost/persons/Yoritoki_Powe,http://localhost/publications/journals/Journal14/1971
http://localhost/persons/Zahraaa_Stumpf,http://localhost/publications/procs/Proceeding4/1971
http://localhost/persons/Rajab_Sikora,http://localhost/publications/procs/Proceeding3/1967
http://localhost/persons/Taree_Pew,http://localhost/publications/procs/Proceeding6/1968
http://localhost/persons/Olympia_Devita,http://localhost/publications/procs/Proceeding3/1968
http://localhost/persons/Ccilie_Barrett,http://localhost/publications/journals/Journal5/1970
http://localhost/persons/Hadrian_Homesley,http://localhost/publications/journals/Journal1/1951
http://localhost/persons/Rajab_Sikora,http://localhost/publications/journals/Journal3/1967
http://localhost/persons/Virineia_Lanciotti,http://localhost/publications/procs/Proceeding2/1959
http://localhost/persons/Vida_Bonas,http://localhost/publications/journals/Journal2/1960
http://localhost/persons/Jabreic_Pallanes,http://localhost/publications/journals/Journal6/1963
http://localhost/persons/Jolina_Osbourn,http://localhost/publications/journals/Journal19/1970
http://localhost/persons/Faheem_Plegge,http://localhost/publications/journals/Journal5/1960
http://localhost/persons/Basanti_Monceaux,http://localhost/publications/journals/Journal13/1971
http://localhost/persons/Macy_Brownlee,http://localhost/publications/procs/Proceeding6/1970
http://localhost/persons/Imme_Zauner,http://localhost/publications/procs/Proceeding4/1971
http://localhost/persons/Fathi_Sylvest,http://localhost/publications/journals/Journal8/1963
http://localhost/persons/Crescentia_Mongeau,http://localhost/publications/journals/Journal10/1967
http://localhost/persons/Daloris_Sandstrom,http://localhost/publications/journals/Journal2/1962
http://localhost/persons/Pavlova_Burleson,http://localhost/publications/procs/Proceeding2/1971
http://localhost/persons/Marissa_Shadden,http://localhost/publications/journals/Journal5/1966
http://localhost/persons/Paul_Erdoes,http://localhost/publications/procs/Proceeding1/1969
http://localhost/persons/Cristiane_Lindenbaum,http://localhost/publications/journals/Journal3/1970
http://localhost/persons/Ashton_Hundertmark,http://localhost/publications/journals/Journal1/1966
http://localhost/persons/Bala_Robyn,http://localhost/publications/journals/Journal7/1964
http://localhost/persons/Agrata_Caminita,http://localhost/publications/procs/Proceeding5/1969
