object,subject
http://localhost/vocabulary/bench/Article,http://localhost/publications/articles/Journal2/1953/Article82
http://xmlns.com/foaf/0.1/Person,http://localhost/persons/Cid_Gorham
http://xmlns.com/foaf/0.1/Person,http://localhost/persons/Luther_Corral
http://xmlns.com/foaf/0.1/Person,http://localhost/persons/Ingemar_Cheevers
http://localhost/vocabulary/bench/Inproceedings,http://localhost/publications/inprocs/Proceeding5/1969/Inproceeding175
http://xmlns.com/foaf/0.1/Person,http://localhost/persons/Jeraldo_Killoren
http://xmlns.com/foaf/0.1/Person,http://localhost/persons/Tychell_Lorson
http://xmlns.com/foaf/0.1/Person,http://localhost/persons/Jerom_Suchla
http://xmlns.com/foaf/0.1/Person,http://localhost/persons/Cady_Schweizer
http://localhost/vocabulary/bench/Article,http://localhost/publications/articles/Journal4/1962/Article91
http://localhost/vocabulary/bench/Article,http://localhost/publications/articles/Journal6/1968/Article220
http://xmlns.com/foaf/0.1/Person,http://localhost/persons/Rufio_Guitard
http://localhost/vocabulary/bench/Inproceedings,http://localhost/publications/inprocs/Proceeding2/1971/Inproceeding70
http://localhost/vocabulary/bench/Article,http://localhost/publications/articles/Journal10/1971/Article384
http://localhost/vocabulary/bench/Article,http://localhost/publications/articles/Journal1/1970/Article43
http://xmlns.com/foaf/0.1/Person,http://localhost/persons/Tami_Guntrum
http://xmlns.com/foaf/0.1/Person,http://localhost/persons/Gwallawg_Titterington
http://xmlns.com/foaf/0.1/Person,http://localhost/persons/Fidda_Boulton
http://localhost/vocabulary/bench/Article,http://localhost/publications/articles/Journal6/1968/Article255
http://xmlns.com/foaf/0.1/Person,http://localhost/persons/Ekaja_Glaves
http://localhost/vocabulary/bench/Article,http://localhost/publications/articles/Journal4/1967/Article125
http://localhost/vocabulary/bench/Article,http://localhost/publications/articles/Journal2/1950/Article38
http://xmlns.com/foaf/0.1/Person,http://localhost/persons/Elfrida_Lackett
http://localhost/vocabulary/bench/Journal,http://localhost/publications/journals/Journal11/1967
http://localhost/vocabulary/bench/Article,http://localhost/publications/articles/Journal15/1969/Article582
http://xmlns.com/foaf/0.1/Person,http://localhost/persons/Bobbie_Wynkoop
http://xmlns.com/foaf/0.1/Person,http://localhost/persons/Kache_Reissig
http://xmlns.com/foaf/0.1/Person,http://localhost/persons/Rintaro_Axson
http://localhost/vocabulary/bench/Article,http://localhost/publications/articles/Journal2/1949/Article25
http://localhost/vocabulary/bench/Article,http://localhost/publications/articles/Journal9/1965/Article324
http://xmlns.com/foaf/0.1/Person,http://localhost/persons/Apollinaris_Haygood
http://localhost/vocabulary/bench/Inproceedings,http://localhost/publications/inprocs/Proceeding2/1961/Inproceeding35
http://localhost/vocabulary/bench/Article,http://localhost/publications/articles/Journal2/1951/Article50
http://xmlns.com/foaf/0.1/Person,http://localhost/persons/Lorraine_Mahapatra
http://xmlns.com/foaf/0.1/Person,http://localhost/persons/Nara_Goffney
http://localhost/vocabulary/bench/Inproceedings,http://localhost/publications/inprocs/Proceeding3/1969/Inproceeding126
http://localhost/vocabulary/bench/Inproceedings,http://localhost/publications/inprocs/Proceeding5/1972/Inproceeding202
http://xmlns.com/foaf/0.1/Person,http://localhost/persons/Anisha_Michna
http://xmlns.com/foaf/0.1/Person,http://localhost/persons/Wido_Hitzler
http://localhost/vocabulary/bench/Article,http://localhost/publications/articles/Journal3/1965/Article72
http://localhost/vocabulary/bench/Inproceedings,http://localhost/publications/inprocs/Proceeding6/1968/Inproceeding227
http://localhost/vocabulary/bench/Article,http://localhost/publications/articles/Journal7/1968/Article281
http://localhost/vocabulary/bench/Article,http://localhost/publications/articles/Journal7/1972/Article204
http://localhost/vocabulary/bench/Inproceedings,http://localhost/publications/inprocs/Proceeding9/1970/Inproceeding369
http://localhost/vocabulary/bench/Article,http://localhost/publications/articles/Journal1/1944/Article11
http://xmlns.com/foaf/0.1/Person,http://localhost/persons/Fern_Ditzel
http://xmlns.com/foaf/0.1/Person,http://localhost/persons/Wladyka_Buttolph
http://xmlns.com/foaf/0.1/Person,http://localhost/persons/Jada_Grech
http://xmlns.com/foaf/0.1/Person,http://localhost/persons/Aaish_Tokita
http://localhost/vocabulary/bench/Article,http://localhost/publications/articles/Journal2/1966/Article73
http://xmlns.com/foaf/0.1/Person,http://localhost/persons/Edria_Mc
http://xmlns.com/foaf/0.1/Person,http://localhost/persons/Aleece_Thorn
http://localhost/vocabulary/bench/Article,http://localhost/publications/articles/Journal1/1962/Article16
http://localhost/vocabulary/bench/Article,http://localhost/publications/articles/Journal5/1965/Article175
http://xmlns.com/foaf/0.1/Person,http://localhost/persons/Danijela_Kellin
http://localhost/vocabulary/bench/Inproceedings,http://localhost/publications/inprocs/Proceeding5/1969/Inproceeding194
http://xmlns.com/foaf/0.1/Person,http://localhost/persons/Godewyn_Hagy
http://xmlns.com/foaf/0.1/Person,http://localhost/persons/Kishanda_Jebbett
http://localhost/vocabulary/bench/Article,http://localhost/publications/articles/Journal12/1968/Article472
http://localhost/vocabulary/bench/Article,http://localhost/publications/articles/Journal2/1965/Article56
http://localhost/vocabulary/bench/Article,http://localhost/publications/articles/Journal3/1972/Article91
http://localhost/vocabulary/bench/Article,http://localhost/publications/articles/Journal6/1969/Article224
http://localhost/vocabulary/bench/Inproceedings,http://localhost/publications/inprocs/Proceeding1/1967/Inproceeding19
http://localhost/vocabulary/bench/Inproceedings,http://localhost/publications/inprocs/Proceeding7/1971/Inproceeding283
http://localhost/vocabulary/bench/Inproceedings,http://localhost/publications/inprocs/Proceeding2/1966/Inproceeding66
http://xmlns.com/foaf/0.1/Person,http://localhost/persons/Aspasia_Vickery
http://localhost/vocabulary/bench/Inproceedings,http://localhost/publications/inprocs/Proceeding1/1967/Inproceeding24
http://xmlns.com/foaf/0.1/Person,http://localhost/persons/Dayami_Orpen
http://localhost/vocabulary/bench/Article,http://localhost/publications/articles/Journal1/1961/Article3
http://localhost/vocabulary/bench/Article,http://localhost/publications/articles/Journal1/1950/Article6
http://xmlns.com/foaf/0.1/Person,http://localhost/persons/Ashihei_Yepes
http://localhost/vocabulary/bench/Article,http://localhost/publications/articles/Journal1/1958/Article16
http://localhost/vocabulary/bench/Inproceedings,http://localhost/publications/inprocs/Proceeding2/1970/Inproceeding52
http://localhost/vocabulary/bench/Article,http://localhost/publications/articles/Journal6/1971/Article208
http://xmlns.com/foaf/0.1/Person,http://localhost/persons/Lukoianova_Gavina
http://xmlns.com/foaf/0.1/Person,http://localhost/persons/Petya_Bivings
http://localhost/vocabulary/bench/Article,http://localhost/publications/articles/Journal3/1958/Article69
http://localhost/vocabulary/bench/Article,http://localhost/publications/articles/Journal7/1970/Article253
http://localhost/vocabulary/bench/Inproceedings,http://localhost/publications/inprocs/Proceeding3/1964/Inproceeding85
http://localhost/vocabulary/bench/Article,http://localhost/publications/articles/Journal10/1969/Article372
http://xmlns.com/foaf/0.1/Person,http://localhost/persons/Xuthus_Latassa
http://xmlns.com/foaf/0.1/Person,http://localhost/persons/Sakari_Hellstrom
